state,cancer_incidence
Alabama,472.9
Alaska,451.4
Arizona,387.1
Arkansas,426.7
California,434
Colorado,430
Connecticut,509.1
Delaware,502.6
District of Columbia,442.4
Florida,439.5
Georgia,461.4
Hawaii,453.3
Idaho,452.3
Illinois,479.3
Indiana,443.9
Iowa,493.4
Kansas,464.5
Kentucky,508.7
Louisiana,493.8
Maine,494.1
Maryland,437.6
Massachusetts,476.3
Michigan,471.2
Minnesota,475.9
Mississippi,475.7
Missouri,461.3
Montana,462.6
Nebraska,444.2
Nevada,459.6
New Hampshire,482.4
New Jersey,488.8
New Mexico,410.7
New York,493.9
North Carolina,480.1
North Dakota,462.3
Ohio,448.1
Oklahoma,466.3
Oregon,449.1
Pennsylvania,497.3
Rhode Island,497.4
South Carolina,428.7
South Dakota,415.3
Tennessee,477.7
Texas,434.7
Utah,391.1
Vermont,480.8
Virginia,434.7
Washington,483.5
West Virginia,470.9
Wisconsin,
Wyoming,436.5
