state,fmap_percentage,multiplier
Alabama,68.99,2.22
Alaska,50.00,1
Arizona,68.46,2.17
Arkansas,70.88,2.43
California,50.00,1
Colorado,51.01,1.04
Connecticut,50.00,1
Delaware,53.63,1.16
District of Columbia,70.00,2.33
Florida,59.72,1.48
Georgia,66.94,2.02
Hawaii,52.23,1.09
Idaho,71.75,2.54
Illinois,50.76,1.03
Indiana,66.52,1.99
Iowa,55.54,1.25
Kansas,56.63,1.31
Kentucky,69.94,2.33
Louisiana,62.05,1.64
Maine,61.88,1.62
Maryland,50.00,1
Massachusetts,50.00,1
Michigan,65.54,1.9
Minnesota,50.00,1
Mississippi,73.58,2.79
Missouri,63.45,1.74
Montana,65.90,1.93
Nebraska,53.27,1.14
Nevada,64.36,1.81
New Hampshire,50.00,1
New Jersey,50.00,1
New Mexico,69.65,2.29
New York,50.00,1
North Carolina,65.88,1.93
North Dakota,50.00,1
Ohio,62.64,1.68
Oklahoma,62.30,1.65
Oregon,64.06,1.78
Pennsylvania,51.82,1.08
Rhode Island,50.00,1
South Carolina,70.64,2.41
South Dakota,51.64,1.07
Tennessee,64.99,1.86
Texas,58.05,1.38
Utah,70.56,2.4
Vermont,54.01,1.17
Virginia,50.00,1
Washington,50.03,1
West Virginia,71.35,2.49
Wisconsin,58.27,1.4
Wyoming,50.00,1
