state,n_low_birthweight
Alabama,6165.00
Alaska,651.00
Arizona,6190.00
Arkansas,3391.00
California,34641.00
Colorado,5811.00
Connecticut,3011.00
Delaware,1016.00
District of Columbia,934.00
Florida,18681.00
Georgia,12912.00
Hawaii,1584.00
Idaho,1573.00
Illinois,13666.00
Indiana,6732.00
Iowa,2700.00
Kansas,2881.00
Kentucky,5044.00
Louisiana,6700.00
Maine,814.00
Maryland,6474.00
Massachusetts,5634.00
Michigan,9610.00
Minnesota,4415.00
Mississippi,4852.00
Missouri,6286.00
Montana,901.00
Nebraska,1839.00
Nevada,2965.00
New Hampshire,881.00
New Jersey,8814.00
New Mexico,2427.00
New York,20049.00
North Carolina,11109.00
North Dakota,607.00
Ohio,11899.00
Oklahoma,4458.00
Oregon,2865.00
Pennsylvania,11941.00
Rhode Island,862.00
South Carolina,5781.00
South Dakota,806.00
Tennessee,7179.00
Texas,32486.00
Utah,3655.00
Vermont,382.00
Virginia,8448.00
Washington,5464.00
West Virginia,1880.00
Wisconsin,4818.00
Wyoming,679.00
Guam,294.00
Puerto Rico,5304.00
Virgin Islands,141.00
