state,percent_metropolitan
Alabama,73.6549256
Alaska,70.2622271
Arizona,84.9446772
Arkansas,65.4232928
California,98.3640112
Colorado,88.4719122
Connecticut,95.894826
Delaware,79.2780408
District of Columbia,100
Florida,96.2480062
Georgia,86.6172519
Hawaii,70.1591779
Idaho,63.6570369
Illinois,88.9096518
Indiana,72.7894725
Iowa,59.356632
Kansas,65.7177831
Kentucky,55.2249561
Louisiana,81.2039714
Maine,52.5405003
Maryland,96.5457605
Massachusetts,97.7875323
Michigan,85.6254991
Minnesota,74.6209158
Mississippi,44.7397719
Missouri,79.6199627
Montana,34.0108622
Nebraska,63.4955452
Nevada,90.2581228
New Hampshire,62.8985398
New Jersey,100
New Mexico,73.9486491
New York,91.8423588
North Carolina,67.2579513
North Dakota,49.9633715
Ohio,76.741822
Oklahoma,67.4271887
Oregon,77.2481061
Pennsylvania,82.0341192
Rhode Island,100
South Carolina,68.4599511
South Dakota,51.0580907
Tennessee,76.0148619
Texas,89.0302056
Utah,78.8939538
Vermont,32.3936124
Virginia,86.7191901
Washington,93.0923004
West Virginia,58.6220064
Wisconsin,74.9349868
Wyoming,29.9545597
