state_abbr,state,bal2012,bal2013
AL,Alabama,1,3.1
AK,Alaska,259,212.4
AZ,Arizona,7.7,13.8
AR,Arkansas,0,0
CA,California,-1.9,0.8
CO,Colorado,11.9,4.8
CT,Connecticut,0,0.2
DE,Delaware,15.7,18.2
FL,Florida,8.6,12
GA,Georgia,3.3,3.1
HI,Hawaii,5.4,7.2
ID,Idaho,4.8,4
IL,Illinois,0.1,0.1
IN,Indiana,15.9,18.5
IA,Iowa,21.5,23.2
KS,Kansas,8.2,8.6
KY,Kentucky,2.2,1.8
LA,Louisiana,6.8,5.3
ME,Maine,2.8,0.2
MD,Maryland,8.2,8.9
MA,Massachusetts,6.1,3.8
MI,Michigan,16.3,8.8
MN,Minnesota,10.8,5.3
MS,Mississippi,3.1,1
MO,Missouri,5.8,4.6
MT,Montana,25.5,22.5
NE,Nebraska,26.9,18.4
NV,Nevada,12.2,9.2
NH,New Hampshire,1.9,0.7
NJ,New Jersey,1.5,1.2
NM,New Mexico,12.8,10.8
NY,New York,3.2,2.5
NC,North Carolina,4,3.1
ND,North Dakota,75.6,24.3
OH,Ohio,4.5,7.7
OK,Oklahoma,11.8,2
OR,Oregon,0.9,6.5
PA,Pennsylvania,2.4,2
RI,Rhode Island,8.6,7.7
SC,South Carolina,17.3,12
SD,South Dakota,15.1,10.4
TN,Tennessee,10.1,8.3
TX,Texas,13.6,21.8
UT,Utah,6.7,5.6
VT,Vermont,4.6,4.8
VA,Virginia,6,5
WA,Washington,-1.6,2.5
WV,West Virginia,35.3,31.7
WI,Wisconsin,2.5,3.3
WY,Wyoming,48.4,53.1
