state,gov_party,sen_party,house_party
Alabama,Republican,Republican,Republican
Alaska,Republican,Republican,Republican
Arizona,Republican,Republican,Republican
Arkansas,Democrat,Republican,Republican
California,Democrat,Democrat,Democrat
Colorado,Democrat,Democrat,Democrat
Connecticut,Democrat,Democrat,Democrat
Delaware,Democrat,Democrat,Democrat
District of Columbia,Democrat,NA,Democrat
Florida,Republican,Republican,Republican
Georgia,Republican,Republican,Republican
Hawaii,Democrat,Democrat,Democrat
Idaho,Republican,Republican,Republican
Illinois,Democrat,Democrat,Democrat
Indiana,Republican,Republican,Republican
Iowa,Republican,Democrat,Republican
Kansas,Republican,Republican,Republican
Kentucky,Democrat,Republican,Democrat
Louisiana,Republican,Republican,Republican
Maine,Republican,Democrat,Democrat
Maryland,Democrat,Democrat,Democrat
Massachusetts,Democrat,Democrat,Democrat
Michigan,Republican,Republican,Republican
Minnesota,Democrat,Democrat,Democrat
Mississippi,Republican,Republican,Republican
Missouri,Democrat,Republican,Republican
Montana,Democrat,Republican,Republican
Nebraska,Republican,Republican,Republican
Nevada,Republican,Democrat,Democrat
New Hampshire,Democrat,Republican,Democrat
New Jersey,Republican,Democrat,Democrat
New Mexico,Republican,Democrat,Democrat
New York,Democrat,Republican,Democrat
North Carolina,Republican,Republican,Republican
North Dakota,Republican,Republican,Republican
Ohio,Republican,Republican,Republican
Oklahoma,Republican,Republican,Republican
Oregon,Democrat,Democrat,Democrat
Pennsylvania,Republican,Republican,Republican
Rhode Island,Independent,Democrat,Democrat
South Carolina,Republican,Republican,Republican
South Dakota,Republican,Republican,Republican
Tennessee,Republican,Republican,Republican
Texas,Republican,Republican,Republican
Utah,Republican,Republican,Republican
Vermont,Democrat,Democrat,Democrat
Virginia,Republican,TIE,Republican
Washington,Democrat,Democrat,Democrat
West Virginia,Democrat,Democrat,Democrat
Wisconsin,Republican,Republican,Republican
Wyoming,Republican,Republican,Republican
