state,state_abbr,house12,hscontrol,sen12,sencontrol,legGOP,legDem,support_expansion,percent_uninsured,ideology,income,percent_black,percent_hispanic,percent_metropolitan,dsh,gop_control,gop_governor,alec_alt,alec,term_limits,obama_share,percent_poverty
Alaska,AK,62.5,1,65,1,1,0,Opposes,20.1,0.05,46.77778,3.1804,5.3659,6.54047,0.0000287,1,1,0,0,0,42.6847095,10.1
Alabama,AL,60.9,1,65.7,1,1,0,Opposes,14.3,0.24,35.62466,25.9499,3.849,7.08298,0.0000659,1,1,0,1,0,38.7837715,19
Arkansas,AR,51,1,60,1,1,0,Supports,17.1,0.23,34.72297,15.2552,6.3086,5.95893,0.0000151,0,0,0,0,1,37.8455947,19.8
Arizona,AZ,60,1,56.66,1,1,0,Supports,17.2,0.1,35.97918,3.9524,28.9192,9.02535,0.000016,1,1,1,1,1,45.3866198,18.7
California,CA,32.5,0,30,0,0,1,Supports,18.1,-0.18,44.98018,6.0436,36.838,9.57081,0.0000298,0,0,0,0,1,61.8728112,17
Colorado,CO,44.6,0,45.7,0,0,1,Supports,15.1,-0.23,45.13516,3.8888,20.0226,8.3698,0.0000184,0,0,0,1,1,52.7479883,10.7
Connecticut,CT,34.4,0,38.9,0,0,1,Supports,8.8,0.01,58.90791,10.0908,13.3438,9.0959,0.0000575,0,0,0,0,0,58.7725775,13.7
Delaware,DE,34.1,0,38.1,0,0,1,Supports,9.4,-0.11,41.93981,20.9155,7.984,7.64142,0.0000102,0,0,0,0,0,59.4469549,12
Florida,FL,61.7,1,65,1,1,0,Supports,20.9,-0.02,40.34352,15.5292,21.8651,9.15745,0.0000107,1,1,0,0,1,50.4422521,17.1
Georgia,GA,66.1,1,67.9,1,1,0,Opposes,19.6,0.14,36.86917,29.7425,8.6058,7.91099,0.000028,1,1,1,1,0,46.0433509,19.2
Hawaii,HI,13.7,0,4,0,0,1,Supports,7.1,-0.19,44.02372,1.5387,8.6792,6.84621,7.18E-06,0,0,0,0,0,71.7038485,11.6
Iowa,IA,53,1,23,0,0,0,Supports,8.9,0.09,42.12603,2.8999,4.9296,5.60055,0.0000132,0,1,0,0,0,52.9593519,12.7
Idaho,ID,81.4,1,80,1,1,0,Opposes,16.5,0.33,33.74868,0.6148,11.0232,6.44305,0.0000107,1,1,1,1,0,33.5786132,15.9
Illinois,IL,39.8,0,32.2,0,0,1,Supports,13.1,-0.13,44.8153,14.4961,15.7479,8.66707,0.0000173,0,0,0,0,0,58.5775234,14.7
Indiana,IN,69,1,74,1,1,0,Opposes,14.5,0.14,36.90228,9.0465,5.9613,7.76883,0.0000338,1,1,0,1,0,44.7996254,15.6
Kansas,KS,72,1,80,1,1,0,Weighing Options,12.6,0.12,41.83516,5.8167,10.3968,6.75396,0.0000148,1,1,0,1,0,38.8866733,14
Kentucky,KY,45,0,57.9,1,0,1,Supports,14.4,0.19,35.04115,7.7052,3.0325,5.76149,0.0000342,0,0,0,0,0,38.4572276,19.4
Louisiana,LA,55.2,1,61.5,1,1,0,Opposes,17.5,0.19,39.41261,31.5608,4.1844,7.34641,0.0001671,1,1,1,1,1,41.2531744,19
Massachusetts,MA,18.1,0,10,0,0,1,Supports,4.3,-0.34,54.68725,6.5361,9.4439,9.81159,0.0000474,0,0,0,0,0,61.7856808,11.9
Maryland,MD,30.5,0,42.9,0,0,1,Supports,10.4,-0.22,51.97103,28.8942,7.9977,9.28393,0.0000134,0,0,0,0,0,63.3217258,10.3
Maine,ME,38.4,0,42.9,0,0,1,Weighing Options,10.7,-0.1,39.4808,1.1817,1.2741,5.83605,0.0000816,0,1,0,0,1,57.8599214,14.7
Michigan,MI,53.6,1,68.4,1,1,0,Supports,11.8,-0.02,37.49722,14.1689,4.4151,8.12787,0.0000277,1,1,0,0,1,54.8005321,17.4
Minnesota,MN,45.5,0,41.8,0,0,1,Supports,8.8,-0.02,46.22736,5.1014,4.6524,7.38325,0.0000144,0,0,0,0,0,53.9412265,11.4
Missouri,MO,67.5,1,70.6,1,1,0,Supports,13.7,0.14,39.04918,11.5143,3.5282,7.41208,0.0000813,0,0,1,1,0,45.2213333,16.2
Mississippi,MS,51.6,1,59.8,1,1,0,Opposes,17.7,0.23,33.07342,36.7977,2.7297,4.45916,0.0000528,1,1,0,0,0,44.1981008,24.2
Montana,MT,63,1,54,1,1,0,Supports,18.3,0.19,37.36982,0.4006,2.8419,3.46893,0.0000116,1,1,0,1,1,42.9657681,15.5
North Carolina,NC,64.2,1,64,1,1,0,Opposes,16.3,0.05,37.04867,21.0071,8.2046,6.8748,0.0000313,1,1,0,0,0,48.9659651,18
North Dakota,ND,75.5,1,70.2,1,1,0,Supports,9.8,0.18,51.89304,1.1377,1.9249,4.6513,0.0000142,1,1,0,1,0,39.8821049,11.2
Nebraska,NE,,0,,0,0,0,Opposes,11.4,0.23,43.14273,4.4669,9.022,5.77393,0.0000157,0,1,0,0,1,38.8706097,13
New Hampshire,NH,44.8,0,54.2,1,0,0,Supports,10.5,-0.04,47.05791,1.1384,2.7791,6.20183,0.0001252,0,0,0,1,0,52.833752,10
New Jersey,NJ,40,0,40,0,0,0,Supports,13.1,-0.17,53.62832,13.5914,17.5433,9.91799,0.000075,0,1,0,0,0,58.9868511,10.8
New Mexico,NM,45.7,0,40.5,0,0,0,Supports,19.8,-0.08,49.42433,2.0402,45.715,6.57156,0.0000101,0,1,0,0,0,55.2952047,20.8
Nevada,NV,35.7,0,47.6,0,0,0,Supports,21.9,0.07,26.51721,7.9243,25.9702,8.81486,0.0000173,0,1,0,0,1,53.4075422,16.4
New York,NY,28.7,0,50.8,1,0,0,Supports,11.4,-0.37,52.09507,15.7065,17.4598,9.10304,0.0000848,0,0,0,0,0,64.3008945,15.9
Ohio,OH,60.6,1,69.7,1,1,0,Supports,11.9,0.07,39.28859,12.1938,3.0723,8.05548,0.0000364,1,1,0,1,1,51.5145989,16.3
Oklahoma,OK,71.3,1,25,1,1,0,Opposes,18.7,0.32,39.00551,7.278,8.7031,6.31049,9.80E-06,1,1,1,1,1,33.2276803,17.2
Oregon,OR,43.3,0,46.7,0,0,1,Supports,15.7,-0.05,38.78621,1.7748,11.542,7.63858,0.000012,0,0,0,0,0,56.2711672,17.2
Pennsylvania,PA,54.2,1,54,1,1,0,Weighing Options,10.1,0.01,43.61584,10.7939,5.6384,8.37208,0.0000454,1,1,0,0,0,52.731934,13.7
Rhode Island,RI,1.3,0,13.2,0,0,1,Supports,10.8,-0.24,44.99043,5.7307,12.4399,10.02166,0.000064,0,0,0,0,0,64.016746,13.7
South Carolina,SC,58.9,1,60.9,1,1,0,Opposes,16.7,0.11,34.26614,27.3234,4.9893,7.48582,0.0000716,1,1,0,0,0,44.6917453,18.3
South Dakota,SD,75.7,1,80,1,1,0,Opposes,11.9,0.25,43.65936,1.2248,2.6542,4.42839,0.0000137,1,1,0,0,0,40.7815009,13.4
Tennessee,TN,70.7,1,78.8,1,1,0,Weighing Options,14.6,0.22,37.67772,16.3766,4.4927,7.21745,0.0000473,1,1,0,1,0,39.6489285,17.9
Texas,TX,63.3,1,61.3,1,1,0,Opposes,23,0.15,41.47132,11.434,36.3055,8.475,0.0000379,1,1,0,0,0,41.9921028,17.9
Utah,UT,81.3,1,82.8,1,1,0,Weighing Options,15.3,0.29,34.60148,1.0257,12.5501,8.57694,7.11E-06,1,1,1,1,0,25.3738111,12.8
Virginia,VA,67,1,50,1,1,0,Opposes,12.5,0.01,47.08162,18.9522,7.7185,8.4139,0.0000111,1,1,1,1,0,51.9673767,11.7
Vermont,VT,30,0,20,0,0,1,Supports,6.6,-0.39,42.99387,1.0027,1.4709,3.37472,0.0000371,0,0,0,0,0,68.2472588,11.8
Washington,WA,43.9,0,46.9,0,0,1,Supports,14.2,-0.14,45.41272,3.4804,10.9582,8.55499,0.0000277,0,0,0,0,0,57.6282983,13.5
Wisconsin,WI,60.1,1,54.5,1,1,0,Opposes,9,0.04,40.53667,6.2718,5.8685,7.23331,0.0000171,1,1,0,0,0,53.5163824,13.2
West Virginia,WV,46,0,26.5,0,0,1,Supports,14.9,0.13,34.47667,3.4022,1.2002,5.56615,0.0000376,0,0,0,0,0,36.3257024,17.8
Wyoming,WY,86.7,1,56.7,1,1,0,Opposes,15.4,0.25,48.66954,0.8237,8.7144,2.90049,3.47E-07,1,1,0,1,0,28.839366,12.6
