"state","state_abbr","oppose_expansion","gop_governor","percent_favorable_aca","percent_favorable_aca_original_scale","obama_share","obama_win","ideology","gop_house","gop_sen","gop_leg","dem_leg","divided_leg","percent_uninsured","percent_uninsured_original_scale","dsh","percent_nonwhite","income","percent_poverty","percent_metro"
"Alaska","AK",1,0.38,-0.303107119985476,0.394494200784254,-0.308963494281555,-0.52,0.0418768909825618,0.44,0.4,0.46,-0.32,-0.14,0.73686169074917,20.1,-0.100210940838392,-0.474854614989077,0.374844068691067,-0.774079012795398,-0.199861529684652
"Alabama","AL",1,0.38,-0.515851113827241,0.358768169816756,-0.495292592790638,-0.52,0.558539831676506,0.44,0.4,0.46,-0.32,-0.14,0.044412273000436,14.3,0.475897355768826,0.3626677727444,-0.485354687861575,0.593388874040458,-0.0442358377321793
"Arkansas","AR",0,-0.62,-0.577254823496259,0.348456664455123,-0.540104798825734,-0.52,0.531347045324194,0.44,0.4,0.46,-0.32,-0.14,0.37869819881017,17.1,-0.310831178307698,0.0381389802567067,-0.554898691404615,0.716307335778513,-0.366683459046399
"Arizona","AZ",0,0.38,-0.217117570122414,0.408934398440663,-0.179906198202661,-0.52,0.177840822744126,0.44,0.4,0.46,-0.32,-0.14,0.390636981874803,17.2,-0.296893074357523,0.483756723780446,-0.458011875879543,0.547294450888688,0.512956979502019
"California","CA",0,-0.62,0.600082344737704,0.546166519252704,0.607560093599514,0.48,-0.583557195120634,-0.56,-0.6,-0.54,0.68,-0.14,0.498086029456503,18.1,-0.0831754804548455,0.878230769366026,0.2362018515555,0.286092719695322,0.669428915378585
"Colorado","CO",0,-0.62,0.14613595694943,0.46993544727344,0.171711068310716,0.48,-0.719521126882199,-0.56,-0.6,-0.54,0.68,-0.14,0.139922537517503,15.1,-0.259724797157057,0.130653192985649,0.248154883827235,-0.681890166491857,0.324904367827684
"Connecticut","CT",0,-0.62,0.462331083111634,0.523033993864818,0.459476799148672,0.48,-0.0668942544266897,-0.56,-0.6,-0.54,0.68,-0.14,-0.612220795554398,8.8,0.345808385567196,0.111863460224889,1.31039598087545,-0.220945934974153,0.533195118093468
"Delaware","DE",0,-0.62,0.502268518774948,0.529740674685764,0.491688573085325,0.48,-0.393207690654444,-0.56,-0.6,-0.54,0.68,-0.14,-0.540588097166598,9.4,-0.386716410925315,0.327224220636541,0.00170939621923993,-0.482147666167519,0.115959571410397
"Florida","FL",0,0.38,0.0658906682579503,0.456459881561724,0.0615771088512833,0.48,-0.148472613483628,0.44,0.4,0.46,-0.32,-0.14,0.832371955266236,20.9,-0.378973019841885,0.661987269831385,-0.121406527674471,0.301457527412579,0.550851495560565
"Georgia","GA",1,0.38,-0.191500395563714,0.413236282386043,-0.148537303381498,-0.52,0.286611968153378,0.44,0.4,0.46,-0.32,-0.14,0.677167775426003,19.6,-0.111051688355195,0.69958249855153,-0.389370249917993,0.624118489474972,0.193289054331685
